merchant_id,merchant_suburb,merchant_state,merchant_long_lat
8caa374e-b525-4314-82e2-b8a4d8828490,Carlton North,VIC,144.98 -37.78
6f26079c-0269-473c-8db5-48c93b871572,Doncaster East,VIC,145.17 -37.76
0bf67b9f-7fa9-4458-8595-d1e738f26550,Newtown,NSW,151.18 -33.9
eb3f245f-1016-416a-bab1-6743f6450d34,Brookvale,NSW,151.27 -33.77
d8baa380-1cf2-485e-8b61-e6b73aab3400,Ballarat,VIC,143.81 -37.55
a676e908-5124-4f59-b35c-4617dac98872,Junee,NSW,147.59 -34.86
9ceb9e51-60f0-4e1a-9656-caad3dd9a75f,Reservoir,VIC,145.01 -37.72
68c05695-d552-4a40-b4a8-cc9f8d88b18f,Robertson,SA,139 -33.97
c50f2e29-5fb5-4ac5-a2ea-1ae575443069,Haymarket,NSW,151.21 -33.88
f15a375b-5aeb-48ff-a5c5-3334605186a0,Croydon,VIC,145.28 -37.79
383aeeda-a0da-442e-b018-70389e109700,Yarrawonga,NT,130.98 -12.47
44abc19c-aa5c-40bd-b1d0-9b2f236189ea,Bundall,QLD,153.41 -28.01
5e4447f8-8083-40eb-b75f-f7e9a0583d3c,Peterborough,SA,138.84 -32.97
c6163a13-ed92-44bf-9bad-9535d4516888,Lavington,NSW,146.97 -36.04
4ae2bdc0-e282-45f4-be7c-aa2853fda03b,Docklands,VIC,144.94 -37.82
5a3c0cad-eb95-43f2-9d62-c55f9d325ce9,North Wagga Wagga,NSW,147.38 -35.1
73aac058-cb31-46c2-826d-29b161bfb23e,Elanora,QLD,153.47 -28.13
1b9ea2a4-61fe-4134-9042-b9b6d92aea7a,North Ward,QLD,146.81 -19.25
fbf7bf9d-d2ed-4f83-a5e7-098cef476906,Bucasia,QLD,149.16 -21.03
3de54244-f7ba-46c9-aa99-01bd54625d25,Brisbane Airport,QLD,153.12 -27.39
6ef562a8-928c-4f56-86f1-592357fd5daa,Seven Mile Beach,TAS,147.5 -42.86
92495e0a-61df-4c3d-9e2d-083ef2efed00,Tullamarine,VIC,144.84 -37.67
d2c81d3b-0816-4809-88e0-32d1451a8aa3,Camberwell,VIC,145.06 -37.83
d87e2b48-3fc5-47e4-87c5-014e56e493df,Elanora,QLD,153.47 -28.13
597b6106-331b-4d3d-86f8-03931dfcf86a,Yass,NSW,148.91 -34.84
4345dbd1-dfa8-4466-892a-4136a5ae08a2,Labrador,QLD,153.41 -27.94
a1faef96-3162-4cb0-bbd6-ec5771644123,Yagoona,NSW,151.01 -33.91
da3deefd-e453-4ba6-9d32-54edf2dfd93d,Docklands,VIC,144.95 -37.82
ce1760f8-fa15-46c2-9e89-9f06b0654a4a,Rockingham,WA,115.74 -32.29
c18dbd6b-599d-40fe-870d-a0bf6b4d64f6,Taylors Lakes,VIC,144.78 -37.7
b6dadbf2-868f-475a-bc9c-c4eed397090d,Mortdale,NSW,151.06 -33.97
1f4c3ff2-1948-4aff-872b-9e35bde43ac9,Arundel,QLD,153.38 -27.95
f708d3ed-a8a7-4185-8b3c-ec53bacbe56f,Box Hill South,VIC,145.12 -37.83
fe257a32-9aaf-4689-a309-23d952424071,Melbourne,VIC,144.96 -37.82
162b53e8-7a5c-4ca6-9e23-e05526f7313b,Beechboro,WA,115.95 -31.87
6102e64f-516d-4b51-bc28-87dbfe089f5c,Southbank,VIC,144.97 -37.83
727f70ec-7434-44fd-8cd7-0583a1b07097,Bairnsdale,VIC,147.63 -37.83
e62c0cf2-08f3-42c5-bad4-6de138fd9351,West Perth,WA,115.84 -31.95
25fd0d90-dec6-4462-85a0-fcdffa6864bb,Capalaba,QLD,153.19 -27.53
0a1d930e-fed4-4d23-adee-6f46a9ac8bdb,Clayfield,QLD,153.05 -27.42
42ade571-5972-4160-9ecb-e0162a305fee,Belrose,NSW,151.21 -33.7
15ceaf10-4350-41a8-b409-51e97e9bf4ab,Kingsley,WA,115.81 -31.82
ae5f353c-afd0-4ed5-a4e3-d8b5bf48b5ec,Adelaide,SA,138.6 -34.92
f74ba6f1-102d-407b-a9e8-3008ad72cdf7,Burleigh Heads,QLD,153.45 -28.09
e2591002-0bb4-4adc-a30a-49e3505355b5,Warwick,WA,115.81 -31.85
ca74915b-4aca-4bfe-9b5c-2c2193e9426e,Melbourne,VIC,144.96 -37.82
4b2fbc4b-533f-4084-8cd8-02132e2acea0,Wollert,VIC,145.03 -37.62
7c8b371e-51b1-48a4-a112-de37dd8287ec,Kidman Park,SA,138.53 -34.91
e3e28ad9-50a4-4a33-b675-bb611d49b517,Kalbarri,WA,114.17 -27.7
f940d132-74b5-4a4d-9e7e-9b92ebe0570e,Greenslopes,QLD,153.05 -27.51
62b17722-b7a4-4cbe-a004-4627f928bdb9,Coffs Harbour,NSW,153.11 -30.3
df148a2c-f28b-46cd-bf67-06c07620ee35,Caffey,QLD,152.22 -27.7
9a41612f-8ad3-4211-8546-4ef3c4063d7f,Perth,WA,115.86 -31.95
6f46d443-1411-4315-bf87-9e7dd1a14f04,Doncaster,VIC,145.13 -37.79
2b8320d0-06eb-46af-96d4-b4af7128ae91,Labrador,QLD,153.4 -27.97
68ba666f-fcef-45e2-be45-efed62c99653,Rye,VIC,144.82 -38.37
6a7723ac-8d34-4c11-a889-86425efdc1d5,Ormeau,QLD,153.24 -27.76
a6dffbca-a78e-482a-bfe4-ee7ef065c1c3,Melville,WA,115.79 -32.05
3a5629b1-d175-4133-b944-2c178bd78f69,East Melbourne,VIC,144.97 -37.81
092cf080-71f6-45f7-a423-23fb0fdc91d7,Mount Beauty,VIC,147.17 -36.74
d3e8e9ea-1e27-44bf-9574-7164c8e31fa7,Narre Warren,VIC,145.31 -38.02
a2d499f3-f376-4a70-8162-6117289e268e,Unley,SA,138.61 -34.95
3ae539ca-2824-413c-b978-e87360b047ea,Runaway Bay,QLD,153.4 -27.91
ba6beee7-3cb0-49af-8d8f-d82fa84eac35,Byron Bay,NSW,153.6 -28.65
ef4a6ac7-a816-48d8-b30b-3985aff88a64,Labrador,QLD,153.4 -27.94
a87b2691-41a6-445a-b802-60b2c91e17bf,Darwin City,NT,130.84 -12.46
6612f628-3ffa-49c1-876f-8a380b650865,Fremantle,WA,115.75 -32.05
7d3affdd-ac47-4894-bf45-292e4b9f67b7,Goulburn,NSW,149.72 -34.76
106e1272-44ab-4dcb-a438-dd98e0071e51,Eden,NSW,149.9 -37.06
55c32c50-3700-4a0e-9c97-175e0db530cd,Heyfield,VIC,146.79 -37.98
66482c86-57d7-4aee-af3e-76100e7518e3,Uraidla,SA,138.75 -34.96
8927cdaf-73bc-49c2-ad75-0ebfbe983053,Yass,NSW,148.91 -34.84
bdd0294c-fd9f-408a-baca-143d4bd00884,Leopold,VIC,144.46 -38.19
8f7da23e-78da-47df-a17a-adc84a3d9b09,Kardinya,WA,115.82 -32.07
d7e1cb79-1d10-4d11-a077-1f85b9f02b68,Narellan,NSW,150.73 -34.04
af9c548f-6075-4e00-887b-6aa2d7714e84,Mermaid Waters,QLD,153.41 -28.05
7bf8ed30-2236-46df-b601-2e10fadaf2c9,Lewisham,NSW,151.15 -33.9
ebee4cb7-91db-43e1-aab7-730bbe227f29,Leederville,WA,115.84 -31.94
1de4fdda-bc50-4deb-9d7f-22948091f3c7,Ryde,NSW,151.11 -33.81
0cd4b13e-0508-4cd6-8b65-20955b51e629,Melbourne,VIC,144.98 -37.83
9ff90027-5ca7-4c4a-908f-02dbcc9b699e,Lavender Bay,NSW,151.21 -33.84
7e0fa6aa-b48a-4d55-afed-ff2034fda51c,Northgate,QLD,153.07 -27.39
ffb84541-d4df-49f9-87c0-7b0b7a7eb791,Sunbury,VIC,144.73 -37.58
9048af37-4a3d-496f-a9d6-25ce11dbe914,Glengala,VIC,144.82 -37.78
0b5d87a1-cc4d-46f1-b2bd-0aa4e21ccfb7,Browns Plains,QLD,153.04 -27.66
b148efb5-b7ac-46a6-9bd3-d42e8447a3a2,Doncaster,VIC,145.13 -37.78
ec141b19-89cc-42cb-9c0b-4493ab9a80b5,Parkville,VIC,144.96 -37.8
08301df2-1d46-4c51-a1ac-f2a4eefe43ef,Mckinnon,VIC,145.05 -37.91
86dde4fe-7852-4ea4-856e-46959a0d3796,Toowoomba,QLD,151.97 -27.57
c6bf12ba-12c7-413d-8219-d68eceece31e,Gooseberry Hill,WA,116.05 -31.96
5d98c351-be27-43c5-abe7-3a21e423baf6,Sydney,NSW,151.21 -33.87
cb641e09-bc57-4192-b8db-515a25de31c0,Ravenswood,WA,115.83 -32.58
027c3f27-080e-4927-9371-feae5ff0d17d,Subiaco,WA,115.82 -31.95
305e042f-991a-4d4b-b267-394ae087c7f2,Claremont,WA,115.78 -31.98
feda5c3b-b971-4d0f-bd4e-00910b13a027,Parramatta,NSW,150.99 -33.82
e118ada1-248d-407c-8e8c-553cbc134cfd,Punchbowl,NSW,151.06 -33.92
41e75a91-399c-431a-bc46-b2300178c051,Mitcham,VIC,145.19 -37.82
d2372bc1-5983-4d93-8759-489362ab5377,Kadina,SA,137.72 -33.96
dd297a7b-d6e0-4706-9729-0d25cc2eba14,Wollongong,NSW,150.89 -34.42
026c8f57-2c11-4651-81fd-75fdd4305c00,Yamba,NSW,153.36 -29.44
bb7c5b63-4b10-431d-98ac-1acc5a986c0b,Brookvale,NSW,151.27 -33.76
4247b971-f70e-437a-bda8-954adefab19e,Collingwood,VIC,144.98 -37.8
38ffa834-11d6-461a-a748-bd3df9d4db57,Wodonga,VIC,146.88 -36.12
4d0051b3-91be-4db7-b397-ac82ea844118,North Sydney,NSW,151.21 -33.84
c251a571-814d-47fc-bfb5-928382086f12,Kelvin Grove,QLD,153.01 -27.45
6ebd2df0-cac1-4f66-a979-01fb18c1f129,Northmead,NSW,150.99 -33.8
959694dd-5121-4e68-9d7f-ad35790519e3,Mansfield,VIC,146.09 -37.05
441fb5fc-693f-4898-a0e9-ac8ea1bbfbd4,Darwin City,NT,130.78 -12.39
f508fb74-e9e5-4f0a-bf9f-10b00516b565,Moorebank,NSW,150.94 -33.94
59ba0b94-0a95-4a8c-b11c-7ee934e3ea4d,West Perth,WA,115.84 -31.95
f4c25daa-db9b-4373-9d40-645cd4654f40,Chippendale,NSW,151.2 -33.89
1064ce7c-6fce-428f-9d56-a6980e100997,Northmead,NSW,151 -33.79
8f49e7a9-c5ca-4c7a-81dc-911ec5e52ba6,Ringwood,VIC,145.15 -37.71
9fafd25e-2baa-44ee-8ca3-bd2edfcd9150,Liverpool,NSW,150.92 -33.91
f3b432d7-4224-4216-9f69-972559838cba,Sydney,NSW,151.21 -33.87
9bd98735-8b39-4eb1-9226-4624430f74a1,Rangeville,QLD,151.98 -27.59
c650b4d8-848b-411a-a56e-70a914fbba7c,Meadowbrook,QLD,153.14 -27.67
29bb0d4c-f4dd-435b-9b98-1d17590575ce,Saint Albans,VIC,144.8 -37.74
c59880e5-1079-43e2-8243-1fcd746ff6fc,Hoppers Crossing,VIC,144.72 -37.87
588b8957-66d1-42be-a1ac-5ecb44c2230f,Beecroft,NSW,151.07 -33.75
e6389142-a34c-4515-b2bf-1adb67d12aee,Elsternwick,VIC,145 -37.89
7c0ed0d1-0976-4859-9793-49e2083165a5,Broken Hill,NSW,141.47 -31.95
b36f8bb7-228a-4726-aa4f-519fcf8c54a3,Glenelg East,SA,138.52 -34.98
ccb23d24-bdeb-4e7f-a4f3-5d12f36b8168,Battery Hill,QLD,153.12 -26.78
df08814b-3453-493e-8e5f-067ea52e1c22,Lilydale,VIC,145.35 -37.75
66a0231a-2397-4bf1-ba73-5b8ec0b069b4,Malvern,VIC,145.03 -37.86
79ee5753-36ec-46cb-bcee-9f5dceda5e2e,Yarrawonga,NT,130.98 -12.47
7bb1d766-64e1-49f8-92ef-28cae0beef1d,Labrador,QLD,153.4 -27.95
213229a4-b41d-4816-a1d8-b44c89289974,Camberwell,VIC,145.06 -37.83
1998a774-6a20-49b3-8059-19839a010729,Mount Clear,VIC,143.87 -37.6
ee96af71-5733-4792-936d-dc0bbee34169,Box Hill,VIC,145.12 -37.82
c32a2089-a6d9-4a51-880a-e4e9a55cf86e,Thornbury,VIC,144.99 -37.76
2c947b40-d708-44b7-9ec0-1889e016aeac,Caboolture,QLD,152.96 -27.08
2b508339-198f-4998-b8d5-c0f4ebf33f89,Semaphore,SA,138.48 -34.84
78d90404-f349-4ced-8850-13bdc909ab03,Fitzroy,VIC,144.98 -37.8
ecada98d-c7e0-46e5-855a-d704ad5917d6,Lismore,NSW,153.28 -28.81
d00d2c9a-883a-4564-806f-54b6533d5472,Sydney,NSW,151.21 -33.87
73858146-0d91-430d-aff1-45668d6fcaf3,Narre Warren South,VIC,145.3 -38.07
392af96c-2a99-45eb-94e8-cddef88e1331,Woollahra,NSW,151.24 -33.89
450aeceb-610b-4da2-b87f-1a515a10ef90,Gold Coast,QLD,153.41 -27.96
57f84313-12c8-4d2f-9b89-ee61c26793d2,Melbourne,VIC,144.97 -37.82
cf85a430-11ab-4461-a872-98d7f9290df7,Freeling,SA,138.82 -34.44
5cd080b9-b0e7-4763-9d3e-319b7502930a,Mount Gravatt,QLD,153.07 -27.53
cd62798b-8895-4037-99f7-50c70d39abe0,Noosa Heads,QLD,153.09 -26.4
40a111ca-da92-4ab5-a75a-ba57b491dab8,Hawthorn,VIC,145.02 -37.82
8ec841ad-1293-4bf5-9920-6e1088bc414d,Mildura,VIC,142.16 -34.19
388848fa-5b48-40ef-9fa0-f1d271a93bf2,Sunshine,VIC,144.85 -37.79
95cdffb0-3918-4ab1-bd23-a280ce15740d,Southport,QLD,153.41 -27.97
58308f9a-7d32-40d1-b52d-774c6d7b44f7,Maleny,QLD,152.85 -26.76
036c91ee-e290-4a2d-abcf-3ab1b6a07178,Parkwood,QLD,153.38 -27.96
4fde984a-6be5-470f-ac9c-e02a6ed6fcf9,Hyde Park,SA,138.61 -34.96
caf30f6a-3825-450b-ad8a-83a3355e048e,Holland Park,QLD,153.06 -27.53
be8aa135-b3b8-4694-9024-c7cd4da1bdc2,Lismore,NSW,153.29 -28.81
a7257417-3cd7-40ef-af50-ba8acd441601,Reservoir,VIC,144.99 -37.72
514349e2-efc0-453c-8127-0306b185854f,Port Melbourne,VIC,144.92 -37.83
1f91ac18-372f-40b5-bbf8-5a3580e8fa1b,Carbrook,QLD,153.24 -27.68
660f5b62-2cd1-44d1-93b3-5934909c059a,Frankston,VIC,145.12 -38.14
88787513-a6c7-494f-8f23-09faee181335,Waverley,NSW,151.25 -33.9
c2daff28-6776-42f6-a837-5a2f8c87d609,Willoughby,NSW,151.2 -33.81
b1a88e2a-7b07-4cb0-bc9b-547dd5d70f85,Margaret River,WA,115.07 -33.95
83e9c28d-62ce-4459-859c-eb9955700f6b,Narrabri,NSW,149.78 -30.32
a947dd7e-b2f9-41be-a4cc-4bdf693ec1c2,Clayton,VIC,145.12 -37.93
55a6c7b2-3f0e-4f25-bc84-0471bbb9e56c,Bundoora,VIC,145.06 -37.69
616c96a2-afaa-49ac-bdfe-fc45256d1f0c,Thornlie,WA,115.95 -32.07
d17bf82c-2b7c-4def-afa0-56c15b9aa8a3,Sydney,NSW,151.21 -33.86
d88eb79c-ac14-4225-8615-964b35b4f638,Mill Park,VIC,145.07 -37.66
b702b424-41ca-4827-8e3f-376aa91d210c,Cleveland,QLD,153.29 -27.52
e8ed5495-c2a9-4576-83ff-9fcb600ad0b7,Caulfield East,VIC,145.04 -37.88
1747aff3-3680-463b-9ec1-5a1005817e83,Cranbourne,VIC,145.28 -38.11
0110727d-8914-46b3-bcbb-ba7eef738dc6,Werribee,VIC,144.68 -37.87
64fc3edc-7613-42c4-b969-63b58e15d159,Kirribilli,NSW,151.22 -33.85
c4eb066b-dad1-4116-8023-8f123a60642f,Wantirna South,VIC,145.22 -37.88
a9e009b8-fb6f-4dc7-97fa-3d4504ab7f4c,Burleigh Heads,QLD,153.45 -28.09
d3881e7b-aacc-46a3-be15-ff3bb66b8072,West Pymble,NSW,151.13 -33.77
ecc0b9d5-ce2a-4eec-8507-13f65df181da,Campsie,NSW,151.1 -33.91
326be4c0-2e6d-4b4a-bc3d-c26abe723c9f,Hilton,WA,115.78 -32.06
98000e83-7a74-4b1d-b58a-1d23c05c795e,Queanbeyan East,NSW,149.25 -35.35
6a8e369b-555b-4151-b281-e5e6309bfbbb,Biloela,QLD,150.5 -24.41
e3a92a7a-0c39-4461-8899-25fb8a3843c2,Ultimo,NSW,151.19 -33.88
a676b903-4684-4757-8f5a-faa8ec453947,Balgowlah,NSW,151.27 -33.79
d30a9815-fb73-4380-ae4c-a42c87c2fd05,Burra,SA,138.94 -33.68
6ddddc40-5b69-4253-8a26-167999a8bf96,Castlemaine,VIC,144.22 -37.06
8a64cce8-b119-4f5d-992c-6acb90503af9,Kingsley,WA,115.79 -31.8
ddf730bc-ba3a-43ea-a891-767447ddd563,Melbourne,VIC,144.96 -37.81
fea17a61-9938-4b3a-9dd4-60f242f132ff,Cannington,WA,115.94 -32.02
c7d169a9-fe96-4983-8d1e-9c0c6805a31e,Darlinghurst,NSW,151.22 -33.88
51a20e13-c7c9-49dd-90f8-721fceb4869d,Leppington,NSW,150.81 -33.97
b86c9f6d-ccba-4188-abac-331af90c0f61,Sippy Downs,QLD,153.06 -26.73
a0246887-000f-4e85-b0cc-64f05c3296fe,Leichhardt,NSW,151.16 -33.89
9a15c5c4-022f-4b3f-a586-a4c628060cb7,Ellenbrook,WA,115.97 -31.78
d18ce96d-a41c-43d6-9170-94e2f59f3840,Kogarah,NSW,151.13 -33.97
38b59ae9-b336-4e24-9f56-cc0b0d56b732,Shepparton,VIC,145.41 -36.39
25b3b309-2175-4d24-b6c6-fa874374a1fa,Mossman,QLD,145.38 -16.48
2df8bd3d-ef44-4d84-8ef2-bace9ccfd7fb,Karrinyup,WA,115.78 -31.88
114110b6-5ed6-4ce8-b8b2-ff00a61fa14d,Emerald Beach,NSW,153.19 -30.17
18005894-c5b8-4186-bf6f-eca6d2005a2e,Larrakeyah,NT,130.83 -12.46
3cdfed25-1a9b-4ca7-88d0-9f9b55468aed,Kalamunda,WA,116.06 -31.97
bc8639dd-db46-4f51-9c13-93967cd95dd1,Sydney,NSW,151.2 -33.87
bf84c95e-b2ea-4c0b-a651-2fa3f686a890,Camberwell,VIC,145.06 -37.83
617a670e-a706-400a-bbfa-09858d56a871,Sippy Downs,QLD,153.06 -26.72
7b4deb71-0e46-4da6-b2fa-7c718273f157,Mount Gambier,SA,140.78 -37.83
100ade3c-d35b-43be-a74e-be6029ebf30e,Mount Waverley,VIC,145.13 -37.88
2e4529be-02ba-44b9-b740-b3914eb04c0a,Goonellabah,NSW,153.33 -28.82
46f01e38-8326-4739-bbd0-cd611306eede,West Perth,WA,115.84 -31.95
05b25c4a-c4dc-4662-9ddf-2e943553b0c2,Lismore,NSW,153.29 -28.81
abf31fa7-2b8d-421b-85ca-1c81a4a04b64,Sydney,NSW,151.2 -33.87
902e65c5-23f8-4322-9d59-a8a103a54d3f,Pyrmont,NSW,151.2 -33.87
bc0743aa-38d8-4d19-9488-0be15bae94e9,Brunswick,VIC,144.96 -37.77
12523792-58f8-4d10-bb7c-bdf0b3096ce5,Brunswick,VIC,144.96 -37.77
4b516659-dccc-4889-95cf-00b09d94b7f8,Seymour,VIC,145.13 -37.02
462e0fdf-e5b3-4d45-ad35-a6d3accb1843,Hope Island,QLD,153.34 -27.87
9533e9e6-f9ea-49b8-b618-c11146028ba5,Booval,QLD,152.79 -27.61
3bd6a59a-b049-4f8c-8ba0-c4285f8f5319,Melbourne,VIC,144.97 -37.81
4907689b-827d-4bb9-ba25-d0625b330a9f,Sale,VIC,147.07 -38.11
9ce00882-f927-41b8-a030-c286f9c478e7,Kew,VIC,145.04 -37.81
8fdb5fa1-582e-427b-9898-5bd6d3b82311,Casuarina,NSW,153.57 -28.3
5b645982-1673-4af2-a53f-af46c7fd6601,Camp Hill,QLD,153.08 -27.5
59626c1c-832a-4779-bd27-616214df91be,Doncaster,VIC,145.13 -37.78
6e829426-63c4-4042-8ba3-d657464d4519,Parkes,NSW,148.17 -33.13
a3c73b8b-be80-4609-afde-8cf5569923e7,Rockhampton City,QLD,150.51 -23.38
fead27c2-a33d-4870-9cce-29f199b117ad,Castlemaine,VIC,144.22 -37.06
b66746aa-d7ac-44e6-97d2-a53fc97c3334,Mount Waverley,VIC,145.14 -37.89
21e5f1e5-92db-46b6-bf42-2039fd9cc52a,Abbotsford,VIC,145 -37.8
d623a279-3e39-4058-ba06-097a0aafa130,Innaloo,WA,115.8 -31.9
8009fd96-fd9e-4a11-b72e-34f051f315fa,Blackwater,QLD,148.89 -23.58
13eded63-7e1c-455c-a27b-27c47e39a1c6,Noble Park,VIC,145.18 -37.95
7a6204b2-c42b-42a2-a432-2110027fb828,Clare,SA,138.61 -33.83
1827d393-4034-4c80-88a5-1cd6ac9deddd,Baulkham Hills,NSW,150.99 -33.76
036455f7-7c1f-44df-8ae6-fe2948d97df6,Melbourne Airport,VIC,144.86 -37.68
324eaa2a-4b1a-470b-a923-b94e72b7a8c2,Upper Coomera,QLD,153.31 -27.86
1cfa9b18-b47c-4479-9a8b-ab714ac7409a,Noosaville,QLD,153.06 -26.4
0437b95e-f8be-4752-b932-305315407ead,Millers Forest,NSW,151.7 -32.77
bdf4377a-77a8-4634-ae40-db1fd8128577,Enmore,NSW,151.17 -33.9
55a875c7-6e14-4f60-abce-14da7582698f,Clayfield,QLD,153.06 -27.42
294193ff-d76e-445f-b240-dea59df2caf8,Broken Hill,NSW,141.47 -31.94
47d4a2f6-62f6-40d4-b518-857feeb02d33,New Norfolk,TAS,147.06 -42.78
d5b4b0fe-b691-4681-9998-a0442ae08fea,Melbourne,VIC,144.97 -37.81
a7058552-ddef-4ba2-a9a8-8d50ab7aa081,Gumdale,QLD,153.15 -27.49
ac9555e4-9c7c-486b-9e65-07e2e918dd0b,Oakleigh,VIC,145.09 -37.9
75b65ffc-1abf-4fae-9ab9-44a41247bb5a,Oxenford,QLD,153.31 -27.89
b9e09fbc-1e21-41af-b6c8-82285c8df261,Burwood,VIC,145.1 -37.85
0fadddf3-a178-4d76-8d7a-f4352b2434a2,Clovelly,NSW,151.26 -33.91
6282ba45-37bf-4df2-be1b-596e839d5588,Goodna,QLD,152.89 -27.62
c517e9ce-fba4-4269-ac69-739d51ef969b,Armidale,NSW,151.67 -30.52
f2c76ff1-b59a-4739-8e40-fa5cde1289c5,South Hurstville,NSW,151.11 -33.98
34d6657a-ebdf-489d-bb90-86dcf4d94639,Robina,QLD,153.39 -28.09
